nom,latitude,longitude,categorie,statut,description,avis,note
Leonie Bakery,48.88185863793083, 2.345077571038601,Boulangerie,Fait,"Overprised, rien dexceptionel",,3.4
Colline d'Asie - Del Sarte,48.88590445897483, 2.3452201815628047,Resto,A faire,"Resto cambodgien, pas trop cher",,3.9
109 The Vintage & Concept Store,48.8859159784582, 2.3456717834157415,Friperie,Fait,"","...",4
A.P.C. Surplus André Del Sarte,48.88590051573568, 2.3455096274609226,Friperie,Fait,"Proposent ancienne collection APC (neuf) a moins 30-50%, reste assez cher",,4
ATELIER LUNE - vintage shop ♻️🫶🏻,48.88583742075865, 2.346852002848379,Friperie,Fait,"Pas mal de workwear, tres bons habits","Prix assez fair",4.2
La ressourcerie Le Poulpe - La Boutique,48.88912627868986, 2.3539790392352864,Friperie,Fait,"bof",,3.8
Emmaüs boutique solidaire,48.89154365835724, 2.348568711813034,Friperie,Fait,"Pas mal d'APC a des prix relativement peut cher",,4.15
Guerrisol,48.89139634881971, 2.3499130071056236,Friperie,Fait,"",,3.8
Emmaüs Boutique solidaire,48.88945968093096, 2.360139850079556,Friperie,Fait,,,3.9
Emmaüs Défi Riquet,48.88924870572248, 2.3719091826711325,Friperie,Fait,"Vraiment tres grand",,3.9
Emmaüs Défi - Ressourcerie du 104,48.89036003386752, 2.3707792114986592,Friperie,Fait,,,3.9
Guépard Destock,48.897171630362244, 2.3447324680719217,Friperie,A faire,,,4.2
Giardino Paris｜Pâtisserie & Salon de thé,48.884624470773005, 2.3214062616418905,Boulangerie,A faire,"A laire absolument absolument incroyable",,5
Clem & Gwen Clichy,48.901229603780884, 2.305460810399904,Boulangerie,A faire,"Pas mal et prix ok (environ 5.5 euros la tarteette)",,4.3
Clem & Gwen Saint-Ouen,48.91282997285135, 2.32943291087654,Boulangerie,Fait,"Pas mal et prix ok (environ 5.5 euros la tarteette)",,4.3
La Cop1ne,48.826846861700446, 2.313344752723008,Resto,A faire,"E + P + D = 5 euros pour es etudiants (meme dans une uni hors de la france il me semble), a l'aire tres quali et bonnes quantites",,4.4
Le Sully,48.870721168628364, 2.3528452844498426,Bar,A faire,"Biere 0.5L = 3.5 euros et 6 euros le cocktail","A l'aire annime et jeune",4.5
Aux Dés Calés 17,48.892116373205994, 2.326126768071602,Resto,A faire,"Un peut cher mais pas trop non plus, jeux de societe gratuit pour chiller apres",,4.1
BON AMI,48.833596638867775, 2.3243888122486047,Bar,A faire,"Pinte a 3 euros (en happy hour)",,4.5
L'instant,48.888249307568046, 2.348132881562973,Bar,A faire,"Pinte a 3.8 euros (en happy hour)",,4.2
La Brouette,48.83327861278771, 2.3243313411257427,Bar,A faire,"Pinte a 4 euros (en happy hour)",,4.13
Lutèce Café,48.85201832228699, 2.3984593275943062,Bar,A faire,"Pinte a 3.3 euros (en happy hour)",,4.3
Chez LouLou et Juliette,48.85333117956219, 2.39734639505239,Bar,A faire,"Pinte a 3.3 euros (en happy hour)",,4.4
Les Affranchis,48.864568004942726, 2.368770342327732,Bar,A faire,"Pinte a 3.5 euros et 6 euros les cocktails",,4.45
La vache folle,48.854838689753954, 2.3390038950524716,Bar,A faire,"Pinte autour de 3.5 euros, a l'aire detre une sorte de boite bar, pas convaincu",,4
Au Taquet,48.876029300174295, 2.3459013738946664,Bar,A faire,"Pinte a 3 euros, coctails a 6 euros, pastis a 3 euros, je suis conquis",,4.9
Le Viaduc,48.847729814842474, 2.375319773627645,Bar,A faire,"6 euros le litre de biere, 9 euros le plat, 6 euros mini burgers",,4.9
New art du ravioli 北方小馆,48.86480453985474, 2.3558488255384504,Resto,A faire,"Resto chinois, apparament bon et pas cher","Pas sur que ce soit si bon, a voir",3.8
Chez Xu,48.86534693251515, 2.356887761297285,Resto,A faire,"Resto chinois, apparament bon et pas cher","Pas sur que ce soit si bon, a voir",3.8
